n,t
10,10
20,14
30,20
40,26
50,32
60,38
70,46
80,50
90,58
100,63
200,126
300,185
400,202
500,254
600,326
700,355
800,405
900,480
1000,526
2000,1048
3000,1609
4000,2222
5000,2754
6000,3331
7000,3904
8000,4499
9000,5062
10000,5646
20000,11507
30000,17635
40000,23837
50000,30561
60000,37448
70000,44294
80000,52789
90000,61416
100000,70532
200000,199577
300000,340124
400000,496471
500000,642392
600000,795875
700000,954332
800000,1094061
900000,1262690
