n,t
10,17
20,51
30,56
40,96
50,98
60,79
70,198
80,170
90,144
100,156
200,285
300,398
400,442
500,460
600,815
700,811
800,762
900,717
1000,718
2000,1521
3000,3062
4000,3079
5000,6115
6000,6353
7000,6193
8000,6387
9000,13012
10000,13326
20000,27345
30000,26909
40000,53458
50000,55313
60000,53859
70000,118439
80000,115800
90000,112424
100000,112971
200000,233499
300000,476452
400000,483112
500000,496003
600000,1030789
700000,1020804
800000,1025745
900000,1029266
