n,t
10,0
20,0
30,1
40,2
50,3
60,3
70,4
80,5
90,5
100,6
200,13
300,22
400,30
500,38
600,46
700,53
800,62
900,69
1000,78
2000,160
3000,238
4000,317
5000,402
6000,481
7000,566
8000,647
9000,726
10000,807
20000,1594
30000,2408
40000,3180
50000,3973
60000,4785
70000,5628
80000,6475
90000,7174
100000,8164
200000,15949
300000,23872
400000,31888
500000,39690
600000,47726
700000,55562
800000,63583
900000,71389
